conv_id,date,transcript,num_msgs,email_usuario,preguntas_usuario,resumen,subsidio_recomendado,rsh,con_quien_postula,edad,tiene_propiedad,tiene_subsidio_habitacional,nacionalidad,ingresos,ahorro
CONV-10682,2024-08-12,Cum recusandae error similique est.,17,gustavo.munoz.demo485@hotmail.com,"[""corrupti"", ""fugiat"", ""officiis"", ""sunt""]",Dolor officiis dolore quas occaecati quibusdam adipisci.,DS19,No registra,Cónyuge,47,Sí,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10683,2025-08-10,Ea accusantium necessitatibus magni nemo. Magni quidem saepe ut vel distinctio autem.,5,gustavo.munoz.demo485@hotmail.com,"[""itaque"", ""ipsa"", ""doloribus""]",Rerum reiciendis beatae pariatur excepturi magni ipsa.,Pendiente evaluación,80%,Cónyuge,68,Sí,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10684,2025-01-30,Eum nobis consequatur atque fugiat tempora.,25,gustavo.munoz.demo485@hotmail.com,"[""numquam"", ""ex""]",Architecto quisquam deleniti voluptatibus quis velit.,Pendiente evaluación,80%,Familia,24,No,Sí,Venezolana,$900.001 - $1.200.000,$500.000
CONV-10685,2025-11-19,Enim ipsam deleniti sequi. Earum occaecati voluptas sint.,21,maria.rivera.demo51556@yahoo.com,"[""ipsa"", ""ratione"", ""eveniet"", ""dolore""]",Assumenda sint maiores dolorum labore magnam placeat.,DS19,60%,Familia,60,No,No,Peruana,Más de $1.200.000,$500.000
CONV-10686,2026-03-27,Adipisci animi id placeat. Laboriosam molestias vel officiis dolores.,20,maria.rivera.demo51556@yahoo.com,"[""doloribus"", ""consequuntur"", ""rerum""]",Nihil ratione rem dolores quam doloremque.,DS49,60%,Familia,41,No,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10687,2024-12-24,Voluptates provident dolorum ad. Voluptates eveniet vero atque suscipit.,14,maria.rivera.demo51556@yahoo.com,"[""corporis"", ""commodi"", ""aut""]",Accusamus commodi adipisci repellendus maiores.,DS1,60%,Otros,38,No,No,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10688,2025-09-24,At nisi praesentium in. Quae eaque nam non.,21,rodrigo.navarrete.demo31389@yahoo.com,"[""saepe"", ""repudiandae""]",Numquam et vel exercitationem itaque.,Ninguno,No registra,Familia,21,No,Sí,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10689,2025-07-11,Totam tenetur fugit.,14,rodrigo.navarrete.demo31389@yahoo.com,"[""nulla"", ""sit"", ""ipsa"", ""nemo""]",A molestiae blanditiis voluptates veniam.,Ninguno,60%,Familia,48,Sí,No,Peruana,$400.000 - $600.000,$500.000
CONV-10690,2026-03-30,Voluptatibus enim molestiae unde sit incidunt.,18,ignacio.espinosa.demo26667@outlook.com,"[""fugit"", ""fuga""]",Hic amet quam asperiores.,Pendiente evaluación,60%,Solo,38,Sí,No,Chilena,$600.001 - $900.000,$2.000.000
CONV-10691,2025-09-29,Eum laboriosam neque quas.,5,ignacio.espinosa.demo26667@outlook.com,"[""totam""]",Voluptate blanditiis mollitia qui.,Ninguno,80%,Cónyuge,40,Sí,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10692,2025-06-10,Repudiandae porro fugiat iure optio perspiciatis beatae.,8,ignacio.espinosa.demo26667@outlook.com,"[""voluptatum"", ""labore""]",Temporibus doloribus maiores in rerum.,DS19,40%,Familia,68,No,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10693,2026-03-06,Alias veritatis corporis voluptatem aperiam. Quis mollitia eos nam iure eum.,8,fernando.borquez.demo30570@yahoo.com,"[""recusandae"", ""optio"", ""in"", ""ipsam""]",Ipsa ducimus nihil expedita minus quod.,DS1,80%,Cónyuge,38,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10694,2026-03-07,Nostrum non impedit exercitationem iusto non vel.,16,fernando.borquez.demo30570@yahoo.com,"[""temporibus"", ""culpa""]",Nam iusto nihil ipsam assumenda impedit hic nostrum.,Pendiente evaluación,60%,Otros,53,No,Sí,Colombiana,$900.001 - $1.200.000,$500.000
CONV-10695,2026-04-24,Aliquam dolorem porro laborum.,17,constanza.ramirez.demo50226@outlook.com,"[""delectus"", ""id""]",Inventore adipisci possimus nostrum a cum tempora.,DS1,60%,Otros,40,No,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10696,2026-03-15,Tenetur eaque quisquam facilis nisi recusandae id voluptatum.,14,constanza.ramirez.demo50226@outlook.com,"[""placeat"", ""maiores""]",Quas voluptates nam quibusdam dolore non illo et.,DS1,No registra,Otros,21,Sí,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10697,2026-03-07,Iure officia optio rem saepe hic eum.,15,constanza.ramirez.demo50226@outlook.com,"[""facilis""]",Hic molestias velit dolor cupiditate.,DS19,80%,Solo,37,No,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10698,2024-11-11,Quisquam nam quam consequuntur soluta.,6,gladys.aguayo.demo38837@outlook.com,"[""architecto"", ""ab"", ""minima""]",Reiciendis praesentium provident vitae inventore eos consectetur.,Pendiente evaluación,No registra,Otros,23,Sí,No,Chilena,$400.000 - $600.000,$500.000
CONV-10699,2025-04-05,Doloribus ex facilis odio harum. Corrupti quo culpa cum.,3,gladys.aguayo.demo38837@outlook.com,"[""nulla""]",Quae minima suscipit excepturi ut.,DS19,60%,Solo,32,Sí,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10700,2025-04-10,Iure sint accusamus beatae officia expedita.,6,alejandro.trujillo.demo6548@yahoo.com,"[""provident"", ""minus"", ""facere""]",Ratione natus nobis commodi vero.,DS49,80%,Otros,31,Sí,Sí,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10701,2025-01-28,Praesentium quae cupiditate est ullam tenetur.,13,alejandro.trujillo.demo6548@yahoo.com,"[""repellendus"", ""voluptas"", ""numquam"", ""deserunt""]",Neque quisquam inventore cupiditate hic architecto facere.,DS49,40%,Familia,38,Sí,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10702,2025-11-18,Reiciendis delectus laboriosam iusto.,20,alejandro.trujillo.demo6548@yahoo.com,"[""debitis"", ""eligendi"", ""ipsa"", ""natus""]",Occaecati magnam doloremque aliquam nesciunt magnam.,Ninguno,80%,Otros,40,No,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10703,2025-05-05,Rem molestias nihil consectetur.,20,bastian.caceres.demo39335@outlook.com,"[""asperiores"", ""dolorem"", ""tenetur"", ""aliquid""]",Doloribus ex architecto quasi doloremque nisi nostrum.,DS49,40%,Solo,36,No,Sí,Chilena,$600.001 - $900.000,$2.000.000
CONV-10704,2026-05-04,Suscipit maiores voluptates. Dignissimos quibusdam laborum illo.,18,maritza.mejias.demo47356@outlook.com,"[""debitis"", ""alias"", ""nemo"", ""fugit""]",Hic ex hic.,DS1,No registra,Familia,39,No,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10705,2024-10-17,Iste dolores nostrum sunt pariatur aperiam aliquam.,17,elena.campos.demo41573@gmail.com,"[""veniam""]",Voluptates velit illo eius.,DS49,40%,Otros,36,No,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10706,2025-10-08,Earum voluptatibus dolorum deleniti.,17,elena.campos.demo41573@gmail.com,"[""architecto"", ""perferendis"", ""earum"", ""iure""]",Optio corporis possimus tempora.,DS49,No registra,Familia,64,Sí,Sí,Chilena,Más de $1.200.000,$1.000.000
CONV-10707,2024-11-20,Officia eius optio sed. Minus autem amet repellat.,5,elena.campos.demo41573@gmail.com,"[""iste"", ""quod""]",Reprehenderit blanditiis quis natus deserunt totam illum.,DS19,80%,Otros,23,No,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10708,2024-07-06,Illum ut sunt. Eveniet optio deleniti ipsam.,3,flor.guerrero.demo1851@hotmail.com,"[""placeat"", ""qui""]",Ea aliquam modi velit fuga illum.,Pendiente evaluación,80%,Familia,51,No,No,Peruana,$900.001 - $1.200.000,$2.000.000
CONV-10709,2025-01-23,Ratione veritatis in velit. Quae beatae nemo fugit.,6,flor.guerrero.demo1851@hotmail.com,"[""inventore"", ""omnis"", ""nulla""]",Aliquam dolorem itaque adipisci officia sunt amet eum.,Pendiente evaluación,60%,Familia,40,No,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10710,2024-12-29,Beatae quidem sit eligendi.,23,luciano.perez.demo22358@hotmail.com,"[""quae"", ""quisquam"", ""hic"", ""corrupti""]",Omnis aperiam fugiat facere corporis.,DS1,No registra,Familia,23,Sí,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10711,2024-10-20,Provident molestiae facilis nesciunt.,6,sandra.munoz.demo24342@yahoo.com,"[""minima"", ""modi""]",Harum eveniet architecto pariatur quaerat possimus.,DS49,60%,Otros,70,Sí,No,Chilena,$400.000 - $600.000,$1.000.000
CONV-10712,2025-05-09,Eos laborum laborum optio eum distinctio tempore.,12,sandra.munoz.demo24342@yahoo.com,"[""provident"", ""sunt"", ""possimus"", ""fuga""]",Ut asperiores recusandae dicta omnis tempora reiciendis.,DS19,No registra,Otros,66,No,No,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10713,2025-07-08,Consequatur iusto esse modi suscipit natus distinctio.,23,hector.leiva.demo26724@gmail.com,"[""aliquid"", ""quas""]",Itaque suscipit alias quidem quo.,Ninguno,80%,Solo,39,Sí,No,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10714,2025-08-04,Voluptatum porro beatae doloribus.,18,hector.leiva.demo26724@gmail.com,"[""totam"", ""ea""]",Iure ad dignissimos cumque doloribus culpa dolor.,Pendiente evaluación,No registra,Familia,22,Sí,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10715,2024-12-12,Corporis quibusdam ipsa.,3,clodomiro.munoz.demo4927@outlook.com,"[""ratione"", ""illo"", ""ipsum""]",Nisi labore quae rerum possimus.,DS49,60%,Familia,51,No,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10716,2024-06-24,Cum amet ipsa eius pariatur officia quisquam.,14,clodomiro.munoz.demo4927@outlook.com,"[""illo""]",Magni facilis harum nemo autem dolorum quod.,Ninguno,40%,Familia,19,Sí,Sí,Chilena,$900.001 - $1.200.000,$2.000.000
CONV-10717,2025-08-08,Perspiciatis laboriosam suscipit porro illum est minus vel.,19,rene.avila.demo23941@gmail.com,"[""similique"", ""deserunt""]",Beatae a dolore quia voluptatum exercitationem exercitationem ipsam.,DS49,60%,Solo,24,Sí,Sí,Chilena,Más de $1.200.000,$2.000.000
CONV-10718,2025-12-07,Asperiores culpa assumenda harum dicta libero inventore necessitatibus.,5,ana.naranjo.demo13578@gmail.com,"[""facilis"", ""dolorum"", ""autem"", ""velit""]",Quis voluptatum optio eos.,Pendiente evaluación,40%,Otros,69,No,Sí,Chilena,$600.001 - $900.000,$1.000.000
CONV-10719,2024-10-11,In iusto eaque amet deserunt rerum possimus. Asperiores nam debitis aliquid.,11,vicente.alvarez.demo22985@yahoo.com,"[""dolorem"", ""suscipit"", ""nam"", ""veritatis""]",Distinctio asperiores aut dolores vitae doloremque.,Ninguno,40%,Solo,55,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10720,2025-12-24,Exercitationem fuga dolorem. Dolorem dolor consequatur ad ipsum.,7,luz.gonzalez.demo10875@gmail.com,"[""eum"", ""similique""]",Incidunt quasi aperiam aperiam porro facere.,DS19,80%,Otros,54,No,Sí,Chilena,$600.001 - $900.000,$2.000.000
CONV-10721,2025-12-20,Sint voluptas iste sapiente perspiciatis voluptatum veritatis sunt.,4,catalina.almonacid.demo23794@hotmail.com,"[""exercitationem""]",Commodi deleniti expedita ex saepe vel dolorem deleniti.,DS1,60%,Familia,55,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10722,2026-01-11,Laudantium ipsum asperiores porro et illum.,11,catalina.almonacid.demo23794@hotmail.com,"[""quod"", ""doloribus""]",In minima nesciunt quam assumenda recusandae quae.,Ninguno,60%,Otros,33,No,No,Venezolana,Más de $1.200.000,$1.000.000
CONV-10723,2025-01-07,Autem in suscipit fugiat corrupti rerum at.,10,daniel.machuca.demo38610@hotmail.com,"[""consequuntur"", ""odio"", ""error"", ""quos""]",Reiciendis quas labore laudantium consequuntur repellat fuga.,DS49,80%,Cónyuge,41,No,Sí,Peruana,$400.000 - $600.000,$500.000
CONV-10724,2024-08-06,Tenetur modi dolore atque.,10,daniel.machuca.demo38610@hotmail.com,"[""eos"", ""est"", ""non"", ""iure""]",Neque assumenda odio voluptatibus maiores.,Ninguno,80%,Cónyuge,57,No,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10725,2024-08-09,Quam voluptate tenetur enim dolor. Tempore rerum cumque doloribus ut.,15,jaime.vasquez.demo1267@gmail.com,"[""corrupti"", ""iure""]",In quas recusandae hic dignissimos libero consequuntur.,DS49,No registra,Cónyuge,65,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10726,2025-09-03,Saepe tempora modi quaerat non ab. Rerum nam fugit.,21,jaime.vasquez.demo1267@gmail.com,"[""necessitatibus"", ""vel""]",Harum deserunt architecto doloremque omnis ipsa maiores.,Pendiente evaluación,40%,Familia,25,No,No,Peruana,Más de $1.200.000,Sin ahorro formal
CONV-10727,2025-12-28,Consequuntur quam quod natus tenetur praesentium commodi.,16,jaime.vasquez.demo1267@gmail.com,"[""velit""]",Minus vel saepe sapiente sapiente.,Ninguno,80%,Familia,44,No,Sí,Chilena,$900.001 - $1.200.000,$500.000
CONV-10728,2026-04-26,Odio qui mollitia iusto veniam.,14,karina.leal.demo35395@gmail.com,"[""distinctio""]",Cumque sit dolorum deserunt voluptatum dolor libero hic.,DS19,No registra,Solo,55,No,No,Chilena,Más de $1.200.000,$2.000.000
CONV-10729,2025-04-18,Qui adipisci esse vero iusto officia.,16,luis.gutierrez.demo18345@gmail.com,"[""natus"", ""aperiam"", ""quidem"", ""labore""]",Et sunt unde alias veritatis.,DS19,60%,Cónyuge,59,Sí,No,Chilena,Más de $1.200.000,$1.000.000
CONV-10730,2025-11-04,Labore dolor unde quia harum inventore. Maiores ex veniam ad. Sed sed voluptas.,8,luis.gutierrez.demo18345@gmail.com,"[""dolore"", ""velit""]",Autem sint omnis accusantium.,Ninguno,No registra,Familia,23,No,Sí,Chilena,$600.001 - $900.000,Sin ahorro formal
CONV-10731,2025-10-29,Asperiores tempora odit error et voluptas.,19,maria.fuenzalida.demo47013@yahoo.com,"[""aliquid"", ""sed"", ""voluptatem""]",Nihil vero debitis impedit provident ipsum.,Ninguno,No registra,Solo,21,No,No,Chilena,$900.001 - $1.200.000,$500.000
CONV-10732,2025-06-28,Reprehenderit magnam voluptatibus.,3,constanza.contreras.demo9818@hotmail.com,"[""cupiditate""]",Accusantium qui cum suscipit natus officia deleniti.,Pendiente evaluación,60%,Cónyuge,57,Sí,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10733,2024-08-04,Itaque veniam ut quis officia ratione. Aspernatur error ipsam.,6,constanza.contreras.demo9818@hotmail.com,"[""nemo"", ""laudantium"", ""corporis""]",Minima maiores molestias.,Ninguno,40%,Otros,19,No,Sí,Venezolana,$600.001 - $900.000,$500.000
CONV-10734,2025-09-11,Minus sint perspiciatis porro totam quo architecto amet.,12,constanza.contreras.demo9818@hotmail.com,"[""autem""]",Veritatis nihil incidunt minima iste maiores optio.,DS1,60%,Cónyuge,42,No,Sí,Peruana,Más de $1.200.000,$2.000.000
CONV-10735,2025-08-14,Pariatur mollitia quam maiores dolore. Veritatis error voluptatum saepe odio.,25,javier.alvarado.demo38206@yahoo.com,"[""accusantium"", ""suscipit"", ""qui""]",Quibusdam provident deleniti voluptates vero.,Pendiente evaluación,40%,Familia,60,Sí,No,Colombiana,Más de $1.200.000,$2.000.000
CONV-10736,2025-01-28,Accusantium dolore doloribus ullam eaque ipsum.,23,christopher.molina.demo51031@yahoo.com,"[""sit"", ""doloribus""]",Facilis officiis reiciendis voluptatem.,DS1,40%,Otros,57,No,Sí,Chilena,$400.000 - $600.000,$2.000.000
CONV-10737,2025-03-28,Odio deleniti at occaecati. Eos est voluptatum.,8,christopher.molina.demo51031@yahoo.com,"[""architecto""]",Autem quis corporis nostrum est facilis vitae.,Ninguno,40%,Familia,53,Sí,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10738,2025-01-07,Incidunt expedita nobis error. Iusto excepturi dolores amet quam odit commodi ratione.,4,david.barria.demo9546@hotmail.com,"[""animi"", ""neque""]",Dicta enim nostrum eius occaecati delectus exercitationem.,DS49,40%,Cónyuge,55,No,No,Chilena,$400.000 - $600.000,$500.000
CONV-10739,2024-11-12,Reiciendis vero ipsam. Sequi aut quasi. Dolorum modi error veritatis.,6,david.barria.demo9546@hotmail.com,"[""odit"", ""ut""]",Necessitatibus quos nisi nesciunt veniam accusamus.,DS1,No registra,Familia,23,No,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10740,2025-01-10,Qui libero cum in alias. Soluta sapiente totam numquam.,21,david.barria.demo9546@hotmail.com,"[""est"", ""facere"", ""iusto"", ""at""]",Non consequatur animi voluptatem ad.,DS1,No registra,Cónyuge,53,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10741,2025-02-22,Ut eveniet repellat iure.,23,jaime.lagos.demo30796@hotmail.com,"[""quos""]",Ipsum consectetur mollitia consectetur amet.,DS19,80%,Otros,44,Sí,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10742,2024-08-31,Libero doloremque placeat praesentium harum voluptatem assumenda.,12,jaime.lagos.demo30796@hotmail.com,"[""omnis"", ""molestiae"", ""ipsum""]",Maiores dicta praesentium quod nulla aspernatur aut.,DS49,40%,Solo,41,No,No,Chilena,$400.000 - $600.000,$1.000.000
CONV-10743,2024-06-08,Temporibus ipsam reprehenderit accusamus illum totam libero. In quas omnis quasi explicabo.,25,jaime.lagos.demo30796@hotmail.com,"[""quisquam""]",Labore aperiam officiis harum ullam ipsam.,Ninguno,40%,Familia,33,Sí,No,Chilena,$400.000 - $600.000,$500.000
CONV-10744,2025-11-25,Non nihil nulla accusamus quasi nobis modi.,22,sandra.morales.demo20324@gmail.com,"[""facilis""]",Recusandae aliquid architecto eos atque.,DS19,80%,Cónyuge,24,Sí,No,Chilena,Más de $1.200.000,$2.000.000
CONV-10745,2025-08-02,Nobis ratione error labore et. Reiciendis nulla facere quaerat incidunt vitae.,23,sandra.morales.demo20324@gmail.com,"[""earum"", ""beatae"", ""sit""]",Blanditiis quis corrupti cupiditate exercitationem vero numquam.,DS49,No registra,Familia,46,Sí,No,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10746,2025-04-14,Modi consequuntur saepe aliquid. Corrupti voluptas dicta officia molestias vero.,10,adelina.diaz.demo8436@gmail.com,"[""temporibus"", ""eaque"", ""dignissimos""]",Odit ex temporibus quis ad.,Pendiente evaluación,40%,Cónyuge,22,Sí,Sí,Chilena,$600.001 - $900.000,$2.000.000
CONV-10747,2024-07-12,Ipsum accusamus placeat rerum earum ullam suscipit iusto.,21,josefa.gomez.demo4203@yahoo.com,"[""quasi"", ""cum"", ""velit"", ""magni""]",Accusamus quas corporis accusamus.,DS1,60%,Solo,22,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10748,2025-05-17,Aliquid ad delectus cupiditate quidem.,4,josefa.gomez.demo4203@yahoo.com,"[""odio"", ""aspernatur"", ""magnam"", ""alias""]",Illo tempora pariatur id.,DS1,40%,Familia,56,Sí,Sí,Peruana,Más de $1.200.000,$2.000.000
CONV-10749,2024-08-07,Iure culpa non a maxime vero consectetur quia. Ipsam officiis quia veniam.,20,paola.bravo.demo25615@outlook.com,"[""rem"", ""nulla"", ""molestias"", ""rerum""]",Aliquam sapiente omnis quod amet quo totam.,Pendiente evaluación,60%,Familia,64,No,No,Chilena,Más de $1.200.000,$2.000.000
CONV-10750,2026-03-20,Aperiam provident esse suscipit labore.,13,nelson.escobar.demo39907@gmail.com,"[""vel"", ""tempore"", ""explicabo""]",Adipisci reprehenderit sapiente sed suscipit ullam quasi.,DS19,60%,Solo,21,No,No,Chilena,Más de $1.200.000,$2.000.000
CONV-10751,2026-01-03,Nobis cupiditate illo sequi quam voluptatibus culpa.,8,nelson.escobar.demo39907@gmail.com,"[""nam"", ""dolorum""]",Tenetur consequatur deleniti perferendis occaecati eos.,Pendiente evaluación,80%,Familia,64,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10752,2026-02-08,Atque sint natus tempore. Laborum tempore officia temporibus aliquid.,22,maria.villalobos.demo23015@outlook.com,"[""laborum"", ""odit""]",Expedita in doloribus asperiores nostrum.,DS49,40%,Cónyuge,20,Sí,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10753,2025-05-04,Itaque vitae culpa fugiat. Voluptate sit ab ipsam doloribus molestias.,14,maria.villalobos.demo23015@outlook.com,"[""quo"", ""tempore"", ""ea""]",Harum quae consequatur non dolorum.,DS49,No registra,Solo,50,No,Sí,Chilena,$400.000 - $600.000,$500.000
CONV-10754,2024-12-27,Possimus dolores ab illum praesentium. Quam cumque labore dolorem magni dolore at.,8,maria.villalobos.demo23015@outlook.com,"[""quo"", ""minus""]",Delectus odit quae non.,DS19,60%,Cónyuge,66,No,No,Chilena,$600.001 - $900.000,$1.000.000
CONV-10755,2024-09-09,Repellat rem quisquam delectus doloribus veniam.,8,victor.molina.demo14048@gmail.com,"[""neque"", ""impedit"", ""tempore"", ""nostrum""]",Consequuntur commodi et itaque.,DS49,60%,Cónyuge,64,Sí,No,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10756,2025-12-12,Ipsa porro mollitia delectus fugit. Laborum soluta quis iusto.,17,victor.molina.demo14048@gmail.com,"[""voluptatem"", ""sed""]",Qui amet numquam rerum earum.,Pendiente evaluación,60%,Otros,64,No,Sí,Chilena,$900.001 - $1.200.000,$500.000
CONV-10757,2025-04-27,Quam nihil amet error. Saepe ut eveniet est nisi. Tenetur sit in unde qui.,25,victor.molina.demo14048@gmail.com,"[""vero"", ""unde"", ""perspiciatis"", ""doloribus""]",Veniam animi reiciendis laborum.,Ninguno,60%,Familia,25,No,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10758,2026-03-28,Officia illum est dolorem perferendis.,17,dario.gaete.demo3101@gmail.com,"[""velit"", ""odio"", ""ex""]",Officia cumque unde autem non blanditiis.,Ninguno,80%,Cónyuge,22,Sí,No,Chilena,Más de $1.200.000,$500.000
CONV-10759,2025-02-24,Nemo occaecati cumque adipisci nemo. Beatae saepe temporibus assumenda numquam voluptate.,16,dario.gaete.demo3101@gmail.com,"[""ea"", ""natus"", ""deserunt"", ""error""]",Distinctio incidunt temporibus eligendi cumque cumque.,DS19,No registra,Familia,44,Sí,Sí,Colombiana,$400.000 - $600.000,Sin ahorro formal
CONV-10760,2024-07-31,Temporibus ad rerum sunt. Libero temporibus quis nemo assumenda placeat.,6,dario.gaete.demo3101@gmail.com,"[""magnam"", ""illum"", ""quaerat"", ""inventore""]",Aut labore distinctio consequuntur dolor ea itaque.,DS19,80%,Familia,62,No,No,Chilena,$400.000 - $600.000,$1.000.000
CONV-10761,2025-04-12,Reprehenderit soluta dicta unde quaerat veritatis.,12,melissa.castillo.demo27691@hotmail.com,"[""dignissimos"", ""ipsam"", ""a""]",Porro culpa quibusdam.,Ninguno,60%,Solo,45,Sí,Sí,Chilena,Más de $1.200.000,$500.000
CONV-10762,2024-09-30,Recusandae exercitationem delectus velit quod asperiores. Repudiandae impedit tempore neque.,9,jennifer.arancibia.demo11772@gmail.com,"[""excepturi"", ""neque""]",Ab animi amet soluta quam.,DS49,40%,Solo,26,Sí,Sí,Chilena,$900.001 - $1.200.000,$500.000
CONV-10763,2025-02-02,Architecto assumenda eius.,22,jennifer.arancibia.demo11772@gmail.com,"[""et"", ""tempora"", ""nihil""]",Unde impedit ducimus minima.,DS49,No registra,Familia,56,Sí,Sí,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10764,2024-07-28,Commodi neque eaque at. Sunt totam aut itaque itaque.,15,luis.ordenes.demo31856@hotmail.com,"[""cupiditate"", ""eius""]",Nulla quibusdam beatae cupiditate totam impedit rem excepturi.,DS1,80%,Cónyuge,26,No,Sí,Venezolana,Más de $1.200.000,$1.000.000
CONV-10765,2024-07-02,Cum occaecati tenetur ipsam eveniet nihil officia. Iusto error odit facere nobis.,23,silvia.gutierrez.demo12793@gmail.com,"[""aliquam"", ""veritatis""]",Magnam fugit enim consectetur veritatis.,DS1,60%,Familia,67,Sí,Sí,Colombiana,$600.001 - $900.000,$1.000.000
CONV-10766,2026-03-13,Veritatis nostrum alias. Cumque id repellat nemo ullam. Quos itaque accusantium aliquid.,7,silvia.gutierrez.demo12793@gmail.com,"[""magnam""]",Suscipit sunt ipsam repellendus odio.,DS19,40%,Familia,68,Sí,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10767,2024-09-11,Voluptatibus cupiditate in ea necessitatibus dolor quo recusandae.,20,silvia.gutierrez.demo12793@gmail.com,"[""atque"", ""nostrum""]",Blanditiis ipsam sint corporis.,DS49,60%,Solo,26,No,Sí,Chilena,$900.001 - $1.200.000,Sin ahorro formal
CONV-10768,2025-04-20,Assumenda eligendi optio magnam nesciunt a neque.,23,uberlinda.angulo.demo41959@hotmail.com,"[""qui"", ""nesciunt"", ""quas"", ""iure""]",Recusandae earum voluptas ex dolor perspiciatis soluta alias.,DS1,60%,Cónyuge,69,Sí,Sí,Venezolana,$400.000 - $600.000,$2.000.000
CONV-10769,2025-03-22,Porro enim vero praesentium eveniet expedita quo.,5,mirtha.rojas.demo44881@yahoo.com,"[""minima""]",Dignissimos maiores error eveniet.,Pendiente evaluación,60%,Cónyuge,22,No,No,Chilena,Más de $1.200.000,$500.000
CONV-10770,2026-01-07,Alias repellat quaerat aut culpa harum soluta. Ab optio pariatur quasi accusantium.,23,fabiana.leal.demo33255@hotmail.com,"[""sunt"", ""sed""]",Vero sit dolorem.,DS49,No registra,Otros,30,No,Sí,Chilena,$900.001 - $1.200.000,$1.000.000
CONV-10771,2024-09-06,Necessitatibus aperiam dignissimos explicabo quis.,25,fabiana.leal.demo33255@hotmail.com,"[""unde"", ""mollitia""]",Amet quasi soluta error voluptatibus.,DS19,40%,Cónyuge,21,Sí,No,Colombiana,$600.001 - $900.000,$500.000
CONV-10772,2025-11-25,Quia sed tempora laborum fuga perferendis molestiae.,15,fabiana.leal.demo33255@hotmail.com,"[""accusamus"", ""perspiciatis""]",Id asperiores sunt est odio.,DS1,No registra,Familia,59,No,Sí,Chilena,$400.000 - $600.000,Sin ahorro formal
CONV-10773,2025-01-29,Minima dolorem nisi numquam.,23,francis.jerez.demo31875@yahoo.com,"[""dicta"", ""et"", ""odio"", ""quam""]",Placeat molestias nesciunt enim distinctio.,DS49,No registra,Otros,47,Sí,Sí,Chilena,$600.001 - $900.000,$500.000
CONV-10774,2025-09-11,Deserunt quia mollitia pariatur.,13,francis.jerez.demo31875@yahoo.com,"[""aspernatur"", ""tempore"", ""vero""]",Quas quas aperiam maiores eius fugit.,Pendiente evaluación,80%,Solo,21,Sí,No,Chilena,Más de $1.200.000,Sin ahorro formal
CONV-10775,2025-06-30,Nisi soluta laborum.,13,francis.jerez.demo31875@yahoo.com,"[""aliquid"", ""occaecati"", ""iure""]",Ipsa maxime labore nobis.,Ninguno,No registra,Solo,66,No,No,Chilena,Más de $1.200.000,Sin ahorro formal
